policy,noise_pct,congestion,capacity,n,carbon_mean,carbon_std,avg_jct_mean,avg_jct_std,tail_jct_mean,tail_jct_std,preemptions_mean,preemptions_std,jobs_completed_mean,jobs_completed_std,carbon_ci95,avg_jct_ci95,tail_jct_ci95,preemptions_ci95,jobs_completed_ci95,carbon_per_completed_job_mean,tradeoff_score
fcfs,20.0,moderate,8,30,56.00760860466574,8.342596519455661,2.013169249422939,0.7354074523991524,5.567222222222222,1.4423266599925135,0.0,0.0,127.76666666666667,12.327942282454936,2.9853598238883685,0.2631621770824627,0.5161299666864027,0.0,4.411497489471898,0.43835853330027974,1.0682828197493435
gaia_proxy,15.0,high,6,30,56.20989222871956,2.893763583230442,1.6636162673974877,0.3137481777142377,6.616111111111108,1.6251564665805107,491.46666666666664,80.07571130018067,185.73333333333332,7.895582935100963,1.0355199992065638,0.11227334348268204,0.5815547727314038,28.65472527975512,2.8253980670956618,0.30263761070739176,0.8470290733834301
gaia_proxy,15.0,high,8,30,69.18475500768206,5.030929351033593,1.4343836919770112,0.23195839287292938,6.188333333333329,1.3053118709564235,553.2333333333333,119.1894126672081,197.16666666666666,7.1587098304639785,1.8002949473069376,0.08300524486371065,0.4670998541173757,42.65138355663295,2.5617114130956815,0.35089478448528516,0.7842903474819756
gaia_proxy,15.0,moderate,6,30,47.718229311594214,5.682050823370082,1.3828922472064655,0.21150028304366153,5.975277777777776,1.38069134449419,352.26666666666665,107.9680455068754,128.26666666666668,5.711049987000899,2.033295773782389,0.07568440428193733,0.49407405229664797,38.63586888905517,2.0436729912143856,0.37202361729413364,0.7763710692590664
gaia_proxy,15.0,moderate,8,30,55.20398123906588,8.027373815202555,1.2538520440403054,0.2712196696167691,5.891111111111109,1.7954703453900205,258.76666666666665,135.86648703359697,133.03333333333333,4.902380374199179,2.8725588278603276,0.09705471231095927,0.6425008115411145,48.619197974759025,1.7542942867274118,0.41496352722925994,0.7505189339536781
gaia_proxy,20.0,high,6,30,55.86525639566178,2.7822036476193204,1.6872030737321422,0.3306511328018632,6.745416666666663,1.6540645506857483,496.23333333333335,81.828113933324,185.66666666666666,7.93218382476636,0.9955987889511807,0.11832198827880834,0.5918993977737512,29.28181450839777,2.838495527253399,0.3008900703536541,0.8554152717050494
gaia_proxy,20.0,high,8,30,68.87746802742414,4.847373637382836,1.4434313982964073,0.24366591626398684,6.273749999999995,1.2845191332695758,559.7666666666667,120.82780090386636,196.96666666666667,7.237275794077508,1.7346103787556253,0.08719472830419434,0.45965926849463784,43.237673257476594,2.5898258821042113,0.34969098676979593,0.7871871513804405
gaia_proxy,20.0,moderate,6,30,47.463902289412225,5.584898165543766,1.385057989314409,0.2194075633903289,5.995555555555553,1.5405202841408123,356.43333333333334,111.33784662887108,128.3,5.89652147602647,1.9985301416698609,0.07851398821400349,0.551268103813218,39.841736733753024,2.110043111179125,0.36994467879510695,0.7759900030028278
gaia_proxy,20.0,moderate,8,30,54.96061135217977,7.945079055140639,1.2511815682288308,0.26942758429321056,5.900138888888888,1.8423356833852464,264.26666666666665,143.61993266072528,132.83333333333334,5.092816667542174,2.8431100261794087,0.0964134228139238,0.6592713573607061,51.393732859426095,1.8224410391000763,0.4137561707817799,0.7487263297606002
las_proxy,15.0,high,6,30,57.721302063421675,2.9887491063517166,1.323604982658477,0.269947805395157,5.189722222222219,1.0605228580466028,557.0666666666667,99.7413666934891,182.0,8.975061233102041,1.0695101321245315,0.09659958154444229,0.3795032308399561,35.69198968355338,3.2116844150086115,0.3171500113374817,0.7197319998658798
